Cluster ID: 		Tweet IDs
0		[Points:1,79,99,]
1		[Points:2,19,27,39,58,73,78,85,88,89,]
2		[Points:3,25,26,42,80,100,]
3		[Points:4,32,52,59,60,64,]
4		[Points:5,31,43,]
5		[Points:6,38,97,]
6		[Points:7,62,87,]
7		[Points:8,61,98,]
8		[Points:9,44,49,]
9		[Points:10,]
10		[Points:11,22,28,36,37,48,68,70,71,72,82,83,92,95,96,]
11		[Points:12,20,41,54,55,75,77,93,]
12		[Points:13,24,29,34,51,53,57,63,65,]
13		[Points:14,18,21,33,40,50,69,74,84,91,]
14		[Points:15,23,30,35,45,46,47,66,67,76,81,86,90,]
15		[Points:16,56,]
16		[Points:17,94,]
SSE for k = 17 is 0.3640827027777779
